"","Player","Span","Mat","Runs","HS","Bat Av","100","Wkts","BBI","Bowl Av","5","Ct","St","Ave Diff",""
"189","SMSM Senanayake (SL)","2012-2016","24","56","17","9.33","0","25","4/46","21.96","0","3","0","-12.62",""
"190","SM Sharif (SCOT)","2012-2017","24","65","26","10.83","0","28","4/24","21.78","0","3","0","-10.95",""
"191","RE van der Merwe (NL/SA)","2009-2017","24","174","48","19.33","0","29","2/3","18.82","0","12","0","0.50",""
"192","SC Williams (ZIM)","2006-2016","24","501","58*","22.77","0","17","3/15","31.29","0","10","0","-8.52",""
"193","Aizaz Khan (HKG)","2014-2017","23","186","31","14.30","0","28","3/10","18.92","0","7","0","-4.62",""
"194","JM Bairstow (ENG)","2011-2017","23","329","60*","25.30","0","-","-","-","-","23","0","-",""
"195","MH Cross (SCOT)","2013-2017","23","392","60","23.05","0","-","-","-","-","10","6","-",""
"196","HH Gibbs (SA)","2005-2010","23","400","90*","18.18","0","-","-","-","-","8","0","-",""
"197","B Kumar (INDIA)","2012-2017","23","18","9","6.00","0","21","3/9","26.23","0","3","0","-20.23",""
"198","Mohammad Ashraful (BDESH)","2007-2013","23","450","65","19.56","0","8","3/42","26.25","0","4","0","-6.68",""
"199","Nizakat Khan (HKG)","2014-2017","23","377","62","17.95","0","4","3/19","17.25","0","8","0","0.70",""
"200","R Rampaul (WI)","2007-2015","23","12","8","12.00","0","29","3/16","24.31","0","2","0","-12.31",""
"201","JJ Roy (ENG)","2014-2017","23","472","78","20.52","0","-","-","-","-","3","0","-",""
"202","LL Tsotsobe (SA)","2009-2014","23","2","1*","2.00","0","18","3/16","30.05","0","1","0","-28.05",""
"203","MM Ali (ENG)","2014-2017","22","202","72*","14.42","0","14","2/21","28.57","0","6","0","-14.14",""
"204","Amjad Javed (UAE)","2014-2017","22","271","76","18.06","0","33","3/12","16.96","0","4","0","1.09",""
"205","CR Brathwaite (WI)","2011-2017","22","195","37*","21.66","0","18","3/20","28.00","0","6","0","-6.33",""
"206","S Chanderpaul (WI)","2006-2010","22","343","41","20.17","0","-","-","-","-","7","0","-",""
"207","Hamid Hassan (AFG)","2010-2016","22","50","22","16.66","0","32","4/22","16.34","0","2","0","0.32",""
"208","Mohammad Naveed (UAE)","2015-2017","22","137","25*","13.70","0","29","3/14","17.27","0","2","0","-3.57",""
"209","MA Ouma (KENYA)","2007-2013","22","127","19","7.05","0","-","-","-","-","8","5","-",""
"210","RR Patel (KENYA)","2008-2013","22","345","52","20.29","0","1","1/13","26.00","0","13","0","-5.70",""
"211","YK Pathan (INDIA)","2007-2012","22","236","37*","18.15","0","13","2/22","33.69","0","9","0","-15.53",""
"212","JD Ryder (NZ)","2008-2014","22","457","62","22.85","0","2","1/2","34.00","0","7","0","-11.14",""
"213","TAM Siriwardana (SL)","2015-2017","22","275","42","17.18","0","8","2/17","25.75","0","6","0","-8.56",""
"214","MA Starc (AUS)","2012-2016","22","12","4","3.00","0","30","3/11","18.86","0","6","0","-15.86",""
"215","KJ Abbott (SA)","2013-2016","21","23","9*","11.50","0","26","3/20","22.26","0","7","0","-10.76",""
"216","Ahmed Raza (UAE)","2014-2017","21","41","12","10.25","0","12","2/18","38.50","0","7","0","-28.24",""
"217","ST Finn (ENG)","2011-2015","21","14","8*","-","0","27","3/16","21.59","0","6","0","-",""
"218","RM Haq (SCOT)","2007-2013","21","64","21*","12.80","0","28","3/20","16.85","0","4","0","-4.05",""
"219","RJ Nicol (NZ)","2010-2013","21","327","58","17.21","0","5","2/20","33.40","0","5","0","-16.18",""
"220","RJ Peterson (SA)","2006-2014","21","124","34","15.50","0","24","3/28","18.79","0","10","0","-3.29",""
"221","BA Stokes (ENG)","2011-2017","21","192","38","14.76","0","10","3/26","48.50","0","8","0","-33.73",""
"222","SW Tait (AUS)","2007-2016","21","11","6","2.75","0","28","3/13","21.03","0","3","0","-18.28",""
"223","Tanwir Afzal (HKG)","2014-2016","21","219","56","13.68","0","19","2/8","26.78","0","4","0","-13.10",""
"224","RG Aga (KENYA)","2008-2013","20","213","52*","13.31","0","15","3/24","20.40","0","7","0","-7.08",""
"225","Anshuman Rath (HKG)","2015-2017","20","321","44","18.88","0","5","3/6","52.80","0","6","0","-33.91",""
"226","SE Bond (NZ)","2005-2010","20","21","8*","4.20","0","25","3/18","21.72","0","4","0","-17.51",""
"227","FH Edwards (WI)","2007-2012","20","10","7*","5.00","0","16","3/23","31.06","0","5","0","-26.06",""
"228","Mohammad Irfan (PAK)","2012-2016","20","4","2*","-","0","15","2/18","33.60","0","1","0","-",""
"229","Mohammad Shahzad (UAE)","2015-2017","20","281","52","15.61","0","13","3/34","31.61","0","1","0","-16.00",""
"230","CB Mpofu (ZIM)","2008-2015","20","13","6*","6.50","0","16","3/16","38.50","0","3","0","-31.99",""
"231","Noor Ali Zadran (AFG)","2010-2017","20","506","63","26.63","0","-","-","-","-","4","0","-",""
"232","S Prasanna (SL)","2013-2017","20","214","37*","15.28","0","10","2/45","35.90","0","4","0","-20.61",""
"233","AM Rahane (INDIA)","2011-2016","20","375","61","20.83","0","-","-","-","-","16","0","-",""
"234","Sohaib Maqsood (PAK)","2013-2016","20","221","37","13.81","0","0","-","-","0","4","0","-",""
"235","SR Thompson (IRE)","2014-2017","20","173","56","15.72","0","6","3/10","37.66","0","9","0","-21.93",""
"236","D Wiese (SA)","2013-2016","20","92","28","13.14","0","24","5/23","20.70","1","9","0","-7.56",""
"237","JM Anderson (ENG)","2007-2009","19","1","1*","1.00","0","18","3/23","30.66","0","3","0","-29.66",""
"238","NW Bracken (AUS)","2006-2009","19","15","4*","5.00","0","19","3/11","23.05","0","6","0","-18.05",""
"239","IG Butler (NZ)","2009-2013","19","5","2*","5.00","0","23","3/19","20.91","0","3","0","-15.91",""
"240","MS Chapman (HKG)","2014-2016","19","392","63*","23.05","0","3","1/10","25.66","0","4","0","-2.60",""
"241","NM Coulter-Nile (AUS)","2013-2017","19","52","16*","8.66","0","23","4/31","25.00","0","9","0","-16.33",""
"242","AR McBrine (IRE)","2014-2017","19","73","14*","12.16","0","13","2/7","16.61","0","6","0","-4.44",""
"243","AF Milne (NZ)","2010-2017","19","21","10*","-","0","21","4/37","23.23","0","5","0","-",""
"244","Muhammad Usman (UAE)","2016-2017","19","382","58","25.46","0","-","-","-","-","4","0","-",""
"245","SO Ngoche (KENYA)","2010-2013","19","55","38","6.87","0","22","4/14","18.90","0","6","0","-12.03",""
