"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"194","AD Poynter (IRE)","2012-2016","19","14","3","219","57","19.90","184","119.02","0","1","1","21","8",""
"195","Tanwir Afzal (HKG)","2014-2016","21","18","2","219","56","13.68","173","126.58","0","1","4","9","15",""
"196","TT Bresnan (ENG)","2006-2014","34","22","9","216","47*","16.61","170","127.05","0","0","3","16","6",""
"197","Najeeb Tarakai (AFG)","2014-2017","9","9","0","216","90","24.00","166","130.12","0","1","1","19","10",""
"198","DO Obuya (KENYA)","2007-2012","10","10","2","216","65*","27.00","228","94.73","0","2","1","22","4",""
"199","KMDN Kulasekara (SL)","2008-2017","58","30","9","215","31","10.23","184","116.84","0","0","4","14","7",""
"200","EMDY Munaweera (SL)","2012-2017","13","13","1","215","53","17.91","164","131.09","0","1","1","25","7",""
"201","Khawar Ali (OMAN)","2015-2017","14","13","0","214","38","16.46","241","88.79","0","0","0","23","5",""
"202","S Prasanna (SL)","2013-2017","20","20","6","214","37*","15.28","161","132.91","0","0","0","13","13",""
"203","RN ten Doeschate (NL)","2008-2010","9","9","4","214","56","42.80","166","128.91","0","1","0","11","7",""
"204","RG Aga (KENYA)","2008-2013","20","18","2","213","52*","13.31","196","108.67","0","1","0","15","5",""
"205","CA Ingram (SA)","2010-2012","9","9","1","210","78","26.25","162","129.62","0","1","1","23","7",""
"206","DL Vettori (NZ)","2007-2014","34","22","6","205","38","12.81","190","107.89","0","0","3","14","2",""
"207","TM Head (AUS)","2016-2017","9","9","2","204","48*","29.14","147","138.77","0","0","0","11","9",""
"208","JM Kemp (SA)","2005-2007","8","7","3","203","89*","50.75","160","126.87","0","1","0","17","10",""
"209","DS Smith (WI)","2007-2009","6","6","0","203","61","33.83","161","126.08","0","2","0","22","5",""
"210","MM Ali (ENG)","2014-2017","22","19","5","202","72*","14.42","179","112.84","0","1","6","19","6",""
"211","JJ Atkinson (HKG)","2014-2016","13","12","0","202","53","16.83","187","108.02","0","1","3","22","6",""
"212","R Gunasekera (CAN)","2012-2013","8","8","0","202","65","25.25","188","107.44","0","1","0","23","4",""
"213","J Botha (SA)","2006-2012","40","20","9","201","34","18.27","165","121.81","0","0","1","15","9",""
"214","Jatinder Singh (OMAN)","2015-2016","11","11","0","200","42","18.18","221","90.49","0","0","0","16","1",""
"215","N Dickwella (SL)","2016-2017","9","8","0","199","68","24.87","137","145.25","0","1","0","32","4",""
"216","S Vesawkar (NEPAL)","2014-2015","10","10","0","199","40","19.90","209","95.21","0","0","0","16","3",""
"217","BMAJ Mendis (SL)","2011-2013","16","12","3","197","43*","21.88","158","124.68","0","0","1","18","5",""
